cohortName,ruleSequence,ruleName,cohortId
1362,0,Has T2DM diagnosis,1362
1362,1,No history of diabetes,1362
1364,0,Age above 45 years,1364
1364,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1364
1364,2,Observation period of 365 days,1364
1367,0,No emergency room visit in the 48 hours prior,1367
1373,0,Age above 45 years,1373
1373,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1373
1373,2,Observation period of 365 days,1373
1374,0,Age above 45 years,1374
1374,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1374
1374,2,Observation period of 365 days,1374
1374,3,Procedure Occurence of High Risk Surgery,1374
1414,0,Age above 45 years,1414
1414,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1414
1414,2,Observation period of 365 days,1414
1415,0,Age above 45 years,1415
1415,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1415
1415,2,Observation period of 365 days,1415
1416,0,Age above 45 years,1416
1416,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1416
1416,2,Observation period of 365 days,1416
1417,0,Age above 45 years,1417
1417,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1417
1417,2,Observation period of 365 days,1417
1418,0,Age above 45 years,1418
1418,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1418
1418,2,Observation period of 365 days,1418
1419,0,Age above 45 years,1419
1419,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1419
1419,2,Observation period of 365 days,1419
1420,0,Age above 45 years,1420
1420,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1420
1420,2,Observation period of 365 days,1420
1421,0,Age above 45 years,1421
1421,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1421
1421,2,Observation period of 365 days,1421
1422,0,Age above 45 years,1422
1422,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1422
1422,2,Observation period of 365 days,1422
1423,0,Age above 45 years,1423
1423,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1423
1423,2,Observation period of 365 days,1423
1424,0,Age above 45 years,1424
1424,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1424
1424,2,Observation period of 365 days,1424
1425,0,Age above 45 years,1425
1425,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1425
1425,2,Observation period of 365 days,1425
1426,0,Age above 45 years,1426
1426,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1426
1426,2,Observation period of 365 days,1426
1427,0,Age above 45 years,1427
1427,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1427
1427,2,Observation period of 365 days,1427
1428,0,Age above 45 years,1428
1428,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1428
1428,2,Observation period of 365 days,1428
1429,0,Age above 45 years,1429
1429,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1429
1429,2,Observation period of 365 days,1429
1430,0,Age above 45 years,1430
1430,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1430
1430,2,Observation period of 365 days,1430
1431,0,Age above 45 years,1431
1431,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1431
1431,2,Observation period of 365 days,1431
1432,0,Age above 45 years,1432
1432,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1432
1432,2,Observation period of 365 days,1432
1433,0,Age above 45 years,1433
1433,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1433
1433,2,Observation period of 365 days,1433
1434,0,Age above 45 years,1434
1434,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1434
1434,2,Observation period of 365 days,1434
1435,0,Age above 45 years,1435
1435,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1435
1435,2,Observation period of 365 days,1435
1436,0,Age above 45 years,1436
1436,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1436
1436,2,Observation period of 365 days,1436
1437,0,Age above 45 years,1437
1437,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1437
1437,2,Observation period of 365 days,1437
1438,0,Age above 45 years,1438
1438,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1438
1438,2,Observation period of 365 days,1438
1439,0,Age above 45 years,1439
1439,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1439
1439,2,Observation period of 365 days,1439
1440,0,Age above 45 years,1440
1440,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1440
1440,2,Observation period of 365 days,1440
1441,0,Age above 45 years,1441
1441,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1441
1441,2,Observation period of 365 days,1441
1442,0,Age above 45 years,1442
1442,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1442
1442,2,Observation period of 365 days,1442
1443,0,Age above 45 years,1443
1443,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1443
1443,2,Observation period of 365 days,1443
1444,0,Age above 45 years,1444
1444,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1444
1444,2,Observation period of 365 days,1444
1445,0,Age above 45 years,1445
1445,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1445
1445,2,Observation period of 365 days,1445
1446,0,Age above 45 years,1446
1446,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1446
1446,2,Observation period of 365 days,1446
1447,0,Age above 45 years,1447
1447,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1447
1447,2,Observation period of 365 days,1447
1448,0,Age above 45 years,1448
1448,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1448
1448,2,Observation period of 365 days,1448
